,Evaluations approved by tool's organization,,
,,,
eyeWitness to Atrocities (https://www.eyewitness.global/),Integrated data aggregation and advocacy grade visualizations,"Captures photos, videos, audio recordings with attached notes (EC1.1); Compiles received footage into dossiers for investigators (EC1.3); In consultation with the user, eyeWitness works to identify the international, regional, and/or national bodies best placed to act on the information (EC1.3); Lacks native analytics and mapping, but covers legal services if partnered with them;",Partial
,Resilient and structured field capture,"Android app used to collect photos, videos, and audio recording (EC2.2); Offline capture that will upload once connected (EC2.1);",Yes 
,"Secure, verifiable evidence management ","App embeds metadata, hashes, and encrypts files to verify their authenticity in court (EC3.1); Secure chain of custody for legal evidence (EC3.2); All footage in the app's gallery can only be accessed with a passcode; Camouflage mode, quick delete mode;",Yes 
,Low friction and accessible usage to democratize data submission and organization ,"Offered in 5 languages (EC4.2); Intuitive UI (EC4.2);  Offline mobile app data collection, android only (EC4.1);",Yes
,Free to use,Must partner with eyeWitness to use the data submitted (EC5.1);,Yes 
,Open source ,,No
,Inclusive co-design and end-user involvement ,"Used a participatory design approach, engaging closely with the intended users (EC7.1); Email support channels (EC7.2);",Yes
,Example projects,Submitted authenticated footage and analysis to  UN Special Rapporteurs on  the situation of human rights in the Palestinian territories occupied since 1967; Submitted evidence of human rights violations committed in Ukraine to UN Commission of Inquiry;,
Tella (https://tella-app.org/),Integrated data aggregation and advocacy grade visualizations,"Collects photos, videos, audio recordings, documents, and other (EC1.1); Cloud storage offered through Uwazi, Open Data Kit, Tella Web, Google Drive, Dropbox and Nextcloud; Does not provide native analysis or visualization, * but when integrated with Uwazi or Open Data Kit users can access the analysis/visualization features of those tools (EC1.2)*; ","No; * Yes when connected with certain storage tools (Uwazi, ODK)"
,"Resilient, low friction field capture",Offline capture with queue submissions once online (EC2.1);  * Form based collection when connected ODK (EC2.3)*; Mobile app (EC2.2);,Yes 
,"Secure, verifiable evidence management ","Automatically encrypts photos, videos, and audio recordings; All data being transferred between Tella and servers is encrypted through Transport Layer Security (TLS) (EC3.1); Files are pin/password protected; Captures verified metadata including a hash (EC3.2); Camouflage mode, quick delete panic button;",Yes
,Democratization of data submission and organization,Offered in 21 languages (EC4.2); Universal icon-based workflow (EC4.2); Android and iOS availability (EC4.1); Offline submission;,Yes
,Free to use,"""Free forever"", no cost to use app (EC5.1); Self hosting options, but Tella offers hosting services to humanitarian/environmental organizations for no cost (EC5.2);",Yes
,Open source ,MIT License (EC6.1); Rich developer documentation and support (EC6.2);,Yes
,Inclusive development ,"Active bug report, feature request, and question forum from users (EC7.2); Information from these channels are used to build roadmaps for future development (EC7.2); Attend global and regional community events to understand and identify needs (EC7.1, EC7.2); Prior to funding challenges, Horizontal hosted community meetings to share and receive information with users (EC7.1, EC7.2);",Yes
,Example projects,CLEEN foundation in Nigeria received 7800 reports that helped them identify cases of police violence and electoral found real-time; Not1More (N1M) used Tella to document violations of environmental and land rights in the Brazilian Amazon (https://tella-app.org/user-stories/),
ProofMode (https://proofmode.org/),Integrated data aggregation and advocacy grade visualizations,Photos and videos only; No native visualization or analysis; Produces a CSV/JSON that can be exported (EC1.4); Partnering with  IPFS and Filecoin allows users to immutably store and share data in one place;,No
,"Resilient, low friction field capture","Offline capture; ""Background Mode"" allows users to use their native camera app while still collecting secure metadata (EC2.1, EC2.2); ",Yes
,"Secure, verifiable evidence management ","Rich metadata capture (file hash, date, time, location, device, and lots more) (EC3.2); Offers a photo verification service; With its web service partners photos and videos can be immutably stored on the decentralized web;",Partial
,Democratization of data submission and organization,iOS and Android app (EC4.1); Simple camera UI (EC4.2); Can be incorporated with the native camera app (EC4.1); ,Yes
,Free to use,Free mobile app download (EC5.1); Does not require self hosting to use (EC5.2); ,Yes
,Open source ,GPL-3.0 License (EC6.1); Blog guides and rich readme (EC6.2);,Yes
,Inclusive development ,"ProodMode's parent project, CameraV, was ""...developed for use by activists, journalists, advocates and others, working in very difficult and high-risk situations…"" (EC7.1) (https://guardianproject.info/archive/camerav/); In collaboration with humanitarian organizations Witness (https://www.witness.org/) and Okthanks (https://okthanks.com/) (EC7.1); No community forum but email, Signal, and WhatsApp channels for support (EC7.2)",Yes
,Example projects,"El Sur Resiste movement documented the negative environmental and social impacts of the Mayan Train line in Mexico (https://proofmode.org/blog/indigenous-caravan); Used ProodMode to document verifiable insurance claims after hurricane Otis in Acapulco, Mexico (https://proofmode.org/blog/hurricane-otis-proofmode);",
KoBoTool Box (https://www.kobotoolbox.org/),Integrated data aggregation and advocacy grade visualizations,"Design survey tools that can collect location, date/time, text, audio, photo, video, and number data (EC1.1); Generate automated statistical summaries, produce visualizations, such as maps and create custom reports (EC1.2); Create custom dashboards and automated reporting (EC1.3); Download data in XLS, CSV, KML, ZIP, or GeoJSON (EC1.4);",Yes
,"Resilient, low friction field capture","Offline use in mobile app only for android (EC2.1, EC2.2); Survey style data capture (EC2.3);",Yes
,"Secure, verifiable evidence management ",Share projects and data using user permission options (EC3.3); All data in transit uses SHA-256 with RSA encryption (EC3.1); Data is encrypted at rest; Possibility of encrypting data from the forms but disables functions of  anything that needs access to the data like map view and export options; No built in data hashing for authentication;,Partial
,Democratization of data submission and organization,Survey forms can be translated into hundreds of languages (EC4.2); Collect data with Android app or web browser (EC4.1); Manual language translations (EC4.2);,Yes
,Free to use,Free plan for nonprofit organizations (EC5.1); Custom features and hosting options can be explored;,Yes
,Open source ,AGPL-3.0 (EC6.1); Technical guides and self host help category on forum (EC6.2);,Yes
,Inclusive development ,Rich community forum for feature suggestion and feedback (EC7.2); Long history of working  in collaboration with survey researchers (EC7.1) (https://www.kobotoolbox.org/about-us/the-organization/#our-history);,Yes
,Example projects,"The Media Ecosystem Observatory (MEO) set up a Digital Threat Pipeline using Kobo Toolbox for people to submit misleading information and online media surrounding Canada's federal election (https://www.kobotoolbox.org/blog/safeguarding-democracy-with-data-driven-research-how-the-media-ecosystem-observatory-is-using-kobotoolbox-to-track-disinformation-in-the-canadian-election); In Mindanao, Philippines ChildFund leveraged data collected through mobile devices using Kobo Toolbox to target intervention and resource allocation (https://www.kobotoolbox.org/blog/leveraging-data-to-combat-child-labor-how-childfund-is-using-kobotoolbox-in-the-philippines);",
Save (https://www.open-archive.org/save),Integrated data aggregation and advocacy grade visualizations,"Can upload photos, videos, document, voice notes, or any other media in your files (EC1.1); Does not offer native analysis or visuals; Save can be connected to public servers like Internet Archive to publicly preserve data; * Private servers can also be connected (NextCloud, ownCloud) and data can be exported and used in anyway, but requires resources to self hosting (technical knowledge) (EC1.4) *;","No, * Partial when connected to private servers for further analysis"
,"Resilient, low friction field capture",Mobile app (EC2.2); Queue for offline upload (EC2.2);,Yes 
,"Secure, verifiable evidence management ","Metadata can be added to all data, but is editable by the user; Data is always uploaded over TLS (Transport Layer Security) to protect media in transit (EC3.1); * Can be paired with ProofMode, giving cryptographic signing (EC3.2) *;","No, *Yes when paired with ProofMode"
,Democratization of data submission and organization,iOS and Android app (EC4.1); Simple and intuitive UI (EC4.2);,Yes
,Free to use,Free mobile app but only offers free public cloud storage through Open Archive (EC5.2); If more privacy is required other options must be explored (EC5.2);,Partial
,Open source ,GPL-3.0 License (EC6.1); Not a lot of visible developer support (EC6.2),Partial
